scene_id,start_time,end_time,duration,type,cuts,cut_times,cut_per_sec,lufs,is_silent,avg_rms,max_rms,rms_var,rms_z,rms_max_z,lufs_z,rms_var_z,motion,camera,object,entropy,motion_z,camera_z,object_z,entropy_z,text
0,0.0,5.083333,5.083333,visual,1.0,0.0,0.0,,True,3.7923768679414855e-06,3.0517578125e-05,6.098336458242518e-13,-1.5867983308774576,-1.8861678759551876,,-0.8734118684077584,0.0,0.0,0.0,-1.442670172810009e-09,-1.1227965050064745,-0.9377706739496419,-1.0400471845398596,-2.9540683342368,
1,5.083333,9.78,4.696667,visual,2.0,"[5.083333, 7.916667]",0.4258338945469202,-40.99155807416609,False,0.0043903218937678765,0.2197265625,1.5975752174697787e-05,-1.423470036716533,-0.35309857673124506,-2.5654940626077107,-0.8430671541570522,2.6518534421920776,0.26298554241657257,1.959067463874817,2.4615575582829505,-0.7958378110224548,-0.885408738970994,-0.7018512602797323,1.1255183282970656,
2,9.78,27.78,18.0,speech,15.0,"[7.916667, 9.833333, 10.791667, 14.166667, 15.916667, 18.083333, 19.208333, 21.583333, 22.75, 23.458333, 24.125, 25.166667, 26.333333, 27.375]",0.8333333333333334,-30.84293298521405,False,0.03043791008863962,0.210113525390625,0.00026201194158531025,-0.4536126288308422,-0.42017967539155093,-0.48646184134455905,-0.37574029114939356,9.363478660583496,5.250860691070557,4.408675670623779,1.5127233775631415,0.03166803111847133,0.10770590837995737,-0.2789727597516894,-0.447002798957114,"Уважаемая вендинговая компания чемпиона, я пишу вам по поводу торгового автомата номера 714, установленного в госпитале Сант-Эндрюх. Он должен был выдать меня Миндэм Сарахисом, но, к сожалению, этого не сделал. В автомате застряли мои конфеты? Да, бывает. Я нахожу это досадным, поскольку был очень голоден. Кроме того, за 10 минут до этого скончалась моя жена."
3,27.78,28.78,1.0,visual,2.0,"[27.78, 28.166667]",2.0,-20.374328727573502,False,0.10986267505531494,0.58953857421875,0.002029212241965329,2.5036936713231106,2.2275006409372833,1.6581208358676052,2.980921079119593,21.28650665283203,7.574624538421631,20.49089813232422,2.208648760575583,1.501710680782414,0.5703806636636215,2.4973186084047394,0.7063677161620977,
4,28.78,83.86,55.08,speech,53.0,"[28.166667, 30.041667, 31.916667, 33.958333, 35.666667, 36.416667, 37.041667, 37.875, 38.708333, 39.458333, 40.125, 40.75, 41.458333, 43.458333, 44.333333, 45.375, 47.041667, 47.708333, 48.416667, 49.208333, 49.833333, 50.458333, 51.291667, 52.583333, 53.333333, 54.166667, 54.833333, 55.666667, 56.583333, 57.458333, 59.166667, 60.333333, 62.125, 64.5, 65.291667, 66.208333, 67.0, 68.875, 70.0, 71.083333, 71.833333, 73.083333, 73.875, 74.916667, 77.0, 77.666667, 79.0, 79.791667, 81.0, 81.916667, 82.625, 83.541667]",0.9622367465504721,-31.604209427555464,False,0.03384019172037985,0.3992919921875,0.0005137456002748954,-0.3269318774472522,0.8999337550695159,-0.642415799545198,0.1024084775771071,6.849984169006348,2.074033260345459,5.567843437194824,2.111045571557636,-0.27823177828531215,-0.5248187157399492,-0.07886438093524027,0.5446080747654644,"И я больше нет. Пожалуй, мне стоит начать с самого начала. Я встаю каждый утро в 5.30. Никогда не думал, что буду ходить на работу с портфелем. Доброе утро. Портфелин напоминает мне ланч-боксы, которые я носил в школу. Дэвис? Мы управляем большими суммами денег. Не могу назвать точных цифр, поскольку это будет некорректно. Ну ладно, порядка 6 миллиардов. Сначала мне показалось, что Филу я не понравился. Я не был достаточно амбициозен, и однажды он мне так и сказал. Ты мне не нравишься, Дэвис. Джулия была чудной и милой девушкой. Но кроме этого я про нее ничего и не знаю. Она вечно жаловалась, что мне на нее плевать. Кажется, я начинаю обращать внимание на вещи, которых раньше не замечал. Конечно, я их видел. Не придавал значения."
5,83.86,84.86,1.0,visual,1.0,[83.86],1.0,-27.327742038653177,False,0.038566382030076944,0.183349609375,0.0003312638959326573,-0.15095663364945067,-0.606941972296593,0.23365494075515486,-0.2442015176875601,0.42653194069862366,0.13418760895729065,0.35094088315963745,1.642838449328839,-1.0702075028940454,-0.9110531487556823,-0.9794638822649652,-0.23136058930301825,
6,84.86,107.3,22.439999999999998,speech,18.0,"[83.86, 85.916667, 86.625, 88.625, 89.458333, 90.083333, 91.125, 93.125, 93.833333, 95.541667, 97.0, 98.125, 99.791667, 100.708333, 101.833333, 104.75, 105.625]",0.8021390374331552,-27.978742241575443,False,0.0419858756011827,0.34014892578125,0.0002870099016802748,-0.023635011918370415,0.4872252814070627,0.10029200872630023,-0.3282585840852599,12.412243843078613,5.65783429145813,8.309407234191895,2.087955602165657,0.40756372221238124,0.18873669435284215,0.3944147272837582,0.5063406246310326,"Фил часто говорил мне, если хочешь починить что-то. Начало нужно разобрать это начать. И понять, что самое важное. Скучаешь по ней? Пытаюсь. Так какой у нас план?"
7,107.3,108.3,1.0,visual,2.0,"[107.3, 107.708333]",2.0,-27.471038219777892,False,0.048138039113847626,0.18994140625,0.00016106119232450782,0.20543500073089518,-0.5609435046438118,0.20429949850253287,-0.5674884932465627,10.233136177062988,9.364429473876953,5.838713645935059,2.075199919229062,0.13889193771810518,0.9267411266518284,-0.03210376534201901,0.48520038609627214,
8,108.3,117.0,8.700000000000003,speech,8.0,"[107.708333, 108.958333, 110.041667, 112.5, 113.458333, 114.875, 116.625]",0.9195402298850571,-25.718609173369206,False,0.0610108408867551,0.381378173828125,0.0006227289610390745,0.6847416477146789,0.7749286601057078,0.5632995030378599,0.30941400886891535,13.572484970092773,6.81665563583374,8.6215181350708,1.8007990682381971,0.5506149623599202,0.419464693042405,0.44829476793617523,0.030430580910381932,Мы разберем мою жизнь на части. Проблема была в нашей любви.
9,117.0,118.0,1.0,visual,1.0,[117.0],1.0,-28.02174144410967,False,0.04028451061222092,0.153900146484375,0.0001421038390719797,-0.08698373448404752,-0.8124443856527681,0.09148325613432653,-0.6034965311195875,27.038238525390625,17.659284591674805,13.415931701660156,1.5782005911338013,2.21086704337668,2.5782945175505687,1.2759595407617783,-0.338486154230545,
